cathode TotalCurrent(10um_0.5V_Nt0n67_des) X,cathode TotalCurrent(10um_0.5V_Nt0n67_des) Y,cathode TotalCurrent(10um_0.5V_Nt1e11n160_des) X,cathode TotalCurrent(10um_0.5V_Nt1e11n160_des) Y,cathode TotalCurrent(10um_0.5V_Nt1e12n173_des) X,cathode TotalCurrent(10um_0.5V_Nt1e12n173_des) Y,cathode TotalCurrent(10um_0.5V_Nt1e13n186_des) X,cathode TotalCurrent(10um_0.5V_Nt1e13n186_des) Y,cathode TotalCurrent(10um_0.5V_Nt5e13n199_des) X,cathode TotalCurrent(10um_0.5V_Nt5e13n199_des) Y,cathode TotalCurrent(20um_2V_Nt0n70_des) X,cathode TotalCurrent(20um_2V_Nt0n70_des) Y,cathode TotalCurrent(20um_2V_Nt1e11n161_des) X,cathode TotalCurrent(20um_2V_Nt1e11n161_des) Y,cathode TotalCurrent(20um_2V_Nt1e12n174_des) X,cathode TotalCurrent(20um_2V_Nt1e12n174_des) Y,cathode TotalCurrent(20um_2V_Nt1e13n187_des) X,cathode TotalCurrent(20um_2V_Nt1e13n187_des) Y,cathode TotalCurrent(20um_2V_Nt5e13n200_des) X,cathode TotalCurrent(20um_2V_Nt5e13n200_des) Y,cathode TotalCurrent(30um_5V_Nt0n56_des) X,cathode TotalCurrent(30um_5V_Nt0n56_des) Y,cathode TotalCurrent(30um_5V_Nt1e11n162_des) X,cathode TotalCurrent(30um_5V_Nt1e11n162_des) Y,cathode TotalCurrent(30um_5V_Nt1e12n175_des) X,cathode TotalCurrent(30um_5V_Nt1e12n175_des) Y,cathode TotalCurrent(30um_5V_Nt1e13n188_des) X,cathode TotalCurrent(30um_5V_Nt1e13n188_des) Y,cathode TotalCurrent(30um_5V_Nt5e13n201_des) X,cathode TotalCurrent(30um_5V_Nt5e13n201_des) Y,cathode TotalCurrent(40um_8V_Nt0n77_des) X,cathode TotalCurrent(40um_8V_Nt0n77_des) Y,cathode TotalCurrent(40um_8V_Nt1e11n163_des) X,cathode TotalCurrent(40um_8V_Nt1e11n163_des) Y,cathode TotalCurrent(40um_8V_Nt1e12n176_des) X,cathode TotalCurrent(40um_8V_Nt1e12n176_des) Y,cathode TotalCurrent(40um_8V_Nt1e13n189_des) X,cathode TotalCurrent(40um_8V_Nt1e13n189_des) Y,cathode TotalCurrent(40um_8V_Nt5e13n202_des) X,cathode TotalCurrent(40um_8V_Nt5e13n202_des) Y,cathode TotalCurrent(50um_13V_Nt0n81_des) X,cathode TotalCurrent(50um_13V_Nt0n81_des) Y,cathode TotalCurrent(50um_13V_Nt1e11n164_des) X,cathode TotalCurrent(50um_13V_Nt1e11n164_des) Y,cathode TotalCurrent(50um_13V_Nt1e12n177_des) X,cathode TotalCurrent(50um_13V_Nt1e12n177_des) Y,cathode TotalCurrent(50um_13V_Nt1e13n190_des) X,cathode TotalCurrent(50um_13V_Nt1e13n190_des) Y,cathode TotalCurrent(50um_13V_Nt5e13n203_des) X,cathode TotalCurrent(50um_13V_Nt5e13n203_des) Y,cathode TotalCurrent(60um_19V_Nt0n59_des) X,cathode TotalCurrent(60um_19V_Nt0n59_des) Y,cathode TotalCurrent(60um_19V_Nt1e11n165_des) X,cathode TotalCurrent(60um_19V_Nt1e11n165_des) Y,cathode TotalCurrent(60um_19V_Nt1e12n178_des) X,cathode TotalCurrent(60um_19V_Nt1e12n178_des) Y,cathode TotalCurrent(60um_19V_Nt1e13n191_des) X,cathode TotalCurrent(60um_19V_Nt1e13n191_des) Y,cathode TotalCurrent(60um_19V_Nt5e13n204_des) X,cathode TotalCurrent(60um_19V_Nt5e13n204_des) Y,cathode TotalCurrent(70um_26V_Nt0n60_des) X,cathode TotalCurrent(70um_26V_Nt0n60_des) Y,cathode TotalCurrent(70um_26V_Nt1e11n166_des) X,cathode TotalCurrent(70um_26V_Nt1e11n166_des) Y,cathode TotalCurrent(70um_26V_Nt1e12n179_des) X,cathode TotalCurrent(70um_26V_Nt1e12n179_des) Y,cathode TotalCurrent(70um_26V_Nt1e13n192_des) X,cathode TotalCurrent(70um_26V_Nt1e13n192_des) Y,cathode TotalCurrent(70um_26V_Nt5e13n205_des) X,cathode TotalCurrent(70um_26V_Nt5e13n205_des) Y,cathode TotalCurrent(80um_33V_Nt0n61_des) X,cathode TotalCurrent(80um_33V_Nt0n61_des) Y,cathode TotalCurrent(80um_33V_Nt1e11n167_des) X,cathode TotalCurrent(80um_33V_Nt1e11n167_des) Y,cathode TotalCurrent(80um_33V_Nt1e12n180_des) X,cathode TotalCurrent(80um_33V_Nt1e12n180_des) Y,cathode TotalCurrent(80um_33V_Nt1e13n193_des) X,cathode TotalCurrent(80um_33V_Nt1e13n193_des) Y,cathode TotalCurrent(80um_33V_Nt5e13n206_des) X,cathode TotalCurrent(80um_33V_Nt5e13n206_des) Y,cathode TotalCurrent(90um_42V_Nt0n62_des) X,cathode TotalCurrent(90um_42V_Nt0n62_des) Y,cathode TotalCurrent(90um_42V_Nt1e11n168_des) X,cathode TotalCurrent(90um_42V_Nt1e11n168_des) Y,cathode TotalCurrent(90um_42V_Nt1e12n181_des) X,cathode TotalCurrent(90um_42V_Nt1e12n181_des) Y,cathode TotalCurrent(90um_42V_Nt1e13n194_des) X,cathode TotalCurrent(90um_42V_Nt1e13n194_des) Y,cathode TotalCurrent(90um_42V_Nt5e13n207_des) X,cathode TotalCurrent(90um_42V_Nt5e13n207_des) Y,cathode TotalCurrent(100um_52V_Nt0n63_des) X,cathode TotalCurrent(100um_52V_Nt0n63_des) Y,cathode TotalCurrent(100um_52V_Nt1e11n169_des) X,cathode TotalCurrent(100um_52V_Nt1e11n169_des) Y,cathode TotalCurrent(100um_52V_Nt1e12n182_des) X,cathode TotalCurrent(100um_52V_Nt1e12n182_des) Y,cathode TotalCurrent(100um_52V_Nt1e13n195_des) X,cathode TotalCurrent(100um_52V_Nt1e13n195_des) Y
5e-12,6.8363796e-15,5e-12,7.7959497e-15,5e-12,2.7628098e-14,5e-12,-8.6985886e-14,5e-12,-4.3722012e-13,5e-12,2.4195467e-14,5e-12,4.3241447e-15,5e-12,2.2543513e-15,5e-12,-3.42162e-13,5e-12,3.1690259e-15,5e-12,6.7122219e-15,5e-12,7.5944499e-15,5e-12,7.6848444e-15,5e-12,9.6680642e-15,5e-12,-3.2105597e-12,5e-12,4.2468283e-15,5e-12,3.0831725e-15,5e-12,5.5254347e-15,5e-12,-1.4226613e-14,5e-12,-5.7870671e-14,5e-12,-1.209747e-14,5e-12,-1.1819469e-14,5e-12,-1.2331897e-14,5e-12,1.5830005e-13,5e-12,-1.5066365e-11,5e-12,-1.0823631e-14,5e-12,-9.3585556e-15,5e-12,-1.0757022e-14,5e-12,-2.1055273e-11,5e-12,-2.2913094e-11,5e-12,1.3388702e-14,5e-12,1.3418104e-14,5e-12,1.6730211e-14,5e-12,-5.2221661e-12,5e-12,-9.2951524e-13,5e-12,-2.093741e-14,5e-12,-1.1433111e-14,5e-12,-1.287045e-14,5e-12,-2.3404125e-14,5e-12,-3.5216118e-13,5e-12,2.0241024e-14,5e-12,1.4385126e-14,5e-12,-4.1479058e-14,5e-12,-1.1394845e-10,5e-12,-7.1202523e-10,5e-12,1.6250299e-14,5e-12,-1.9337301e-14,5e-12,-2.9575639e-14,5e-12,-1.6023396e-12
1.15e-11,2.2025439e-15,1.15e-11,2.4829982e-15,1.15e-11,1.8788126e-15,1.15e-11,2.1944959e-15,1.15e-11,2.9830711e-15,1.15e-11,1.1425115e-15,1.15e-11,1.8678855e-15,1.15e-11,6.3727246e-16,1.15e-11,1.2398781e-16,1.15e-11,8.1357449e-16,1.15e-11,1.016811e-15,1.15e-11,5.1696746e-16,1.15e-11,1.0461081e-15,1.15e-11,1.6502984e-15,1.15e-11,3.2862539e-16,1.15e-11,9.8843539e-16,1.15e-11,1.0274078e-15,1.15e-11,6.3333507e-16,1.15e-11,1.0431972e-15,1.15e-11,9.9177414e-16,1.15e-11,6.5361111e-16,1.15e-11,7.9846648e-16,1.15e-11,1.4100467e-15,1.15e-11,-5.2964651e-16,1.15e-11,-4.3549294e-16,1.15e-11,9.2190556e-16,1.15e-11,8.7658729e-16,1.15e-11,9.8018436e-16,1.15e-11,-3.5905509e-14,1.15e-11,-1.3172316e-15,1.15e-11,7.7006605e-16,1.15e-11,8.1444092e-16,1.15e-11,9.0643563e-16,1.15e-11,-1.1156509e-14,1.15e-11,8.9859569e-16,1.15e-11,9.957954e-16,1.15e-11,6.5096118e-16,1.15e-11,1.0981817e-15,1.15e-11,1.135666e-15,1.15e-11,1.5113449e-15,1.15e-11,6.9479413e-16,1.15e-11,4.9236065e-16,1.15e-11,7.3816251e-16,1.15e-11,-1.4769436e-13,1.15e-11,-3.5435575e-14,1.15e-11,7.3255467e-16,1.15e-11,3.7976201e-16,1.15e-11,1.0811139e-15,1.15e-11,-5.9567309e-16
1.995e-11,3.4303011e-15,1.995e-11,3.4718214e-15,1.995e-11,3.361799e-15,1.995e-11,3.8505256e-15,1.995e-11,3.5589987e-15,1.995e-11,2.3724072e-15,1.995e-11,2.0186075e-15,1.995e-11,2.297716e-15,1.995e-11,2.0036145e-15,1.995e-11,2.4522807e-15,1.995e-11,1.3665662e-15,1.995e-11,2.778525e-15,1.995e-11,2.6396901e-15,1.995e-11,2.2707103e-15,1.995e-11,9.8769843e-16,1.995e-11,1.5316408e-15,1.995e-11,1.5758877e-15,1.995e-11,1.752168e-15,1.995e-11,1.8765528e-15,1.995e-11,2.0631839e-15,1.995e-11,1.5837135e-15,1.995e-11,1.4029966e-15,1.995e-11,1.6863462e-15,1.995e-11,2.0235013e-15,1.995e-11,6.4848674e-16,1.995e-11,1.5540275e-15,1.995e-11,1.4653777e-15,1.995e-11,1.4961594e-15,1.995e-11,-2.3845028e-14,1.995e-11,5.3375876e-16,1.995e-11,1.6499111e-15,1.995e-11,1.756307e-15,1.995e-11,1.6369772e-15,1.995e-11,-6.2447504e-15,1.995e-11,2.3467469e-15,1.995e-11,1.4310021e-15,1.995e-11,1.4370487e-15,1.995e-11,1.6481277e-15,1.995e-11,1.7475376e-15,1.995e-11,2.1880337e-15,1.995e-11,1.4808906e-15,1.995e-11,1.4003486e-15,1.995e-11,1.1974523e-15,1.995e-11,-1.0109671e-13,1.995e-11,-3.6917035e-14,1.995e-11,1.1363008e-15,1.995e-11,1.0738202e-15,1.995e-11,1.4303033e-15,1.995e-11,6.0795502e-16
3.0935e-11,5.5924825e-15,3.0935e-11,6.5435221e-15,3.0935e-11,5.2416457e-15,3.0935e-11,6.1304091e-15,3.0935e-11,6.3362922e-15,3.0935e-11,3.142936e-15,3.0935e-11,3.7468869e-15,3.0935e-11,4.0889088e-15,3.0935e-11,3.1023544e-15,3.0935e-11,3.668403e-15,3.0935e-11,2.8140654e-15,3.0935e-11,4.293977e-15,3.0935e-11,2.910142e-15,3.0935e-11,3.4092986e-15,3.0935e-11,3.3347331e-15,3.0935e-11,2.6793148e-15,3.0935e-11,2.9462976e-15,3.0935e-11,2.9498348e-15,3.0935e-11,3.1661647e-15,3.0935e-11,3.4966202e-15,3.0935e-11,2.6598489e-15,3.0935e-11,2.5534684e-15,3.0935e-11,2.7196612e-15,3.0935e-11,3.1729463e-15,3.0935e-11,2.8638555e-15,3.0935e-11,2.7513721e-15,3.0935e-11,2.586506e-15,3.0935e-11,2.6369263e-15,3.0935e-11,-1.3711205e-14,3.0935e-11,3.1362949e-15,3.0935e-11,2.5236191e-15,3.0935e-11,2.3980846e-15,3.0935e-11,2.5844634e-15,3.0935e-11,-2.2373028e-15,3.0935e-11,3.6601022e-15,3.0935e-11,2.5191829e-15,3.0935e-11,2.6505446e-15,3.0935e-11,2.7268736e-15,3.0935e-11,3.1434805e-15,3.0935e-11,3.7000248e-15,3.0935e-11,2.3657986e-15,3.0935e-11,2.3558137e-15,3.0935e-11,2.4319732e-15,3.0935e-11,-6.5075175e-14,3.0935e-11,-8.3600279e-15,3.0935e-11,2.6589111e-15,3.0935e-11,2.4268302e-15,3.0935e-11,2.5344025e-15,3.0935e-11,2.0453865e-15
4.52155e-11,9.4445934e-15,4.52155e-11,9.4768796e-15,4.52155e-11,9.1344471e-15,4.52155e-11,9.4150436e-15,4.52155e-11,8.8170452e-15,4.52155e-11,5.1713725e-15,4.52155e-11,5.74018e-15,4.52155e-11,5.490379e-15,4.52155e-11,5.6619624e-15,4.52155e-11,5.7829571e-15,4.52155e-11,5.0980504e-15,4.52155e-11,4.956644e-15,4.52155e-11,4.5553078e-15,4.52155e-11,5.4941931e-15,4.52155e-11,5.4627519e-15,4.52155e-11,4.2355556e-15,4.52155e-11,4.2156597e-15,4.52155e-11,4.3829207e-15,4.52155e-11,4.9775833e-15,4.52155e-11,5.4643511e-15,4.52155e-11,4.0428959e-15,4.52155e-11,4.0501244e-15,4.52155e-11,4.2433017e-15,4.52155e-11,5.1381826e-15,4.52155e-11,5.1615121e-15,4.52155e-11,4.2123048e-15,4.52155e-11,4.1681446e-15,4.52155e-11,4.2632935e-15,4.52155e-11,-6.8781185e-15,4.52155e-11,5.5060211e-15,4.52155e-11,4.0036761e-15,4.52155e-11,3.9420794e-15,4.52155e-11,4.2832543e-15,4.52155e-11,1.2140993e-15,4.52155e-11,5.9351174e-15,4.52155e-11,3.8127379e-15,4.52155e-11,3.8808506e-15,4.52155e-11,4.0714656e-15,4.52155e-11,4.8493301e-15,4.52155e-11,5.7373697e-15,4.52155e-11,3.7286636e-15,4.52155e-11,3.6751273e-15,4.52155e-11,3.9483186e-15,4.52155e-11,-4.2792533e-14,4.52155e-11,9.0646316e-16,4.52155e-11,3.791281e-15,4.52155e-11,3.2627187e-15,4.52155e-11,4.1854959e-15,4.52155e-11,4.3545455e-15
6.378015e-11,1.4509034e-14,6.378015e-11,1.4944397e-14,6.378015e-11,1.4046985e-14,6.378015e-11,1.4127673e-14,6.378015e-11,1.4511046e-14,6.378015e-11,8.4370217e-15,6.378015e-11,8.5926645e-15,6.378015e-11,7.9796493e-15,6.378015e-11,8.4723789e-15,6.378015e-11,8.195599e-15,6.378015e-11,8.0975127e-15,6.378015e-11,7.4360607e-15,6.378015e-11,7.4843297e-15,6.378015e-11,8.0541361e-15,6.378015e-11,8.3720235e-15,6.378015e-11,6.682814e-15,6.378015e-11,6.8239321e-15,6.378015e-11,6.9155295e-15,6.378015e-11,7.7542383e-15,6.378015e-11,8.2441671e-15,6.378015e-11,6.6647071e-15,6.378015e-11,6.4941248e-15,6.378015e-11,6.7182191e-15,6.378015e-11,7.8531325e-15,6.378015e-11,8.3240172e-15,6.378015e-11,6.4491698e-15,6.378015e-11,6.5380629e-15,6.378015e-11,6.7572546e-15,6.378015e-11,-3.4762645e-16,6.378015e-11,8.5916477e-15,6.378015e-11,6.5222613e-15,6.378015e-11,6.2732113e-15,6.378015e-11,6.5717492e-15,6.378015e-11,5.2927566e-15,6.378015e-11,8.8495415e-15,6.378015e-11,6.0888442e-15,6.378015e-11,6.0603366e-15,6.378015e-11,6.2601409e-15,6.378015e-11,7.7173517e-15,6.378015e-11,8.7193027e-15,6.378015e-11,5.8598148e-15,6.378015e-11,6.0644847e-15,6.378015e-11,6.221848e-15,6.378015e-11,-2.5935415e-14,6.378015e-11,7.144067e-15,6.378015e-11,6.0357032e-15,6.378015e-11,5.6639625e-15,6.378015e-11,5.9351017e-15,6.378015e-11,7.1389806e-15
8.7914195e-11,2.2591288e-14,8.7914195e-11,2.3127497e-14,8.7914195e-11,2.209163e-14,8.7914195e-11,2.2454991e-14,8.7914195e-11,2.0842683e-14,8.7914195e-11,1.3513323e-14,8.7914195e-11,1.3621668e-14,8.7914195e-11,1.3614148e-14,8.7914195e-11,1.3705032e-14,8.7914195e-11,1.3474048e-14,8.7914195e-11,1.2299403e-14,8.7914195e-11,1.2241555e-14,8.7914195e-11,1.1867537e-14,8.7914195e-11,1.3044641e-14,8.7914195e-11,1.3050231e-14,8.7914195e-11,1.0706867e-14,8.7914195e-11,1.0778158e-14,8.7914195e-11,1.1005156e-14,8.7914195e-11,1.240769e-14,8.7914195e-11,1.2592759e-14,8.7914195e-11,1.0339756e-14,8.7914195e-11,1.0500999e-14,8.7914195e-11,1.0962797e-14,8.7914195e-11,1.235458e-14,8.7914195e-11,1.2931806e-14,8.7914195e-11,1.0211377e-14,8.7914195e-11,1.0329879e-14,8.7914195e-11,1.067071e-14,8.7914195e-11,6.9379571e-15,8.7914195e-11,1.3372025e-14,8.7914195e-11,1.0019666e-14,8.7914195e-11,1.0110442e-14,8.7914195e-11,1.0551787e-14,8.7914195e-11,1.0645292e-14,8.7914195e-11,1.3725151e-14,8.7914195e-11,9.6455723e-15,8.7914195e-11,9.7803583e-15,8.7914195e-11,1.0186075e-14,8.7914195e-11,1.2297386e-14,8.7914195e-11,1.3701961e-14,8.7914195e-11,9.4577316e-15,8.7914195e-11,9.451379e-15,8.7914195e-11,9.8627858e-15,8.7914195e-11,-1.1609455e-14,8.7914195e-11,1.3238337e-14,8.7914195e-11,9.5247112e-15,8.7914195e-11,9.3796577e-15,8.7914195e-11,9.7902128e-15,8.7914195e-11,1.1718309e-14
1.1928845e-10,3.6304516e-14,1.1928845e-10,3.6948904e-14,1.1928845e-10,3.5977108e-14,1.1928845e-10,3.637703e-14,1.1928845e-10,3.2736277e-14,1.1928845e-10,2.2439239e-14,1.1928845e-10,2.2368159e-14,1.1928845e-10,2.2262975e-14,1.1928845e-10,2.2786556e-14,1.1928845e-10,2.1482127e-14,1.1928845e-10,1.9678832e-14,1.1928845e-10,1.9164611e-14,1.1928845e-10,1.9649322e-14,1.1928845e-10,2.1534377e-14,1.1928845e-10,2.0466287e-14,1.1928845e-10,1.7461061e-14,1.1928845e-10,1.7624226e-14,1.1928845e-10,1.7877893e-14,1.1928845e-10,2.0129706e-14,1.1928845e-10,1.9612681e-14,1.1928845e-10,1.7227143e-14,1.1928845e-10,1.7385539e-14,1.1928845e-10,1.7703692e-14,1.1928845e-10,2.0547867e-14,1.1928845e-10,2.0412392e-14,1.1928845e-10,1.6859141e-14,1.1928845e-10,1.7008713e-14,1.1928845e-10,1.7463606e-14,1.1928845e-10,1.6646281e-14,1.1928845e-10,2.1304885e-14,1.1928845e-10,1.6484717e-14,1.1928845e-10,1.658716e-14,1.1928845e-10,1.7266902e-14,1.1928845e-10,1.9096064e-14,1.1928845e-10,2.1873299e-14,1.1928845e-10,1.5860627e-14,1.1928845e-10,1.6026707e-14,1.1928845e-10,1.6572735e-14,1.1928845e-10,1.9764468e-14,1.1928845e-10,2.1847684e-14,1.1928845e-10,1.5633108e-14,1.1928845e-10,1.5603372e-14,1.1928845e-10,1.6196976e-14,1.1928845e-10,3.9068769e-15,1.1928845e-10,2.1708055e-14,1.1928845e-10,1.5198647e-14,1.1928845e-10,1.4816009e-14,1.1928845e-10,1.5757763e-14,1.1928845e-10,1.9215779e-14
1.6007499e-10,6.1511687e-14,1.6007499e-10,6.1663632e-14,1.6007499e-10,6.1929221e-14,1.6007499e-10,6.0723569e-14,1.6007499e-10,5.6187248e-14,1.6007499e-10,3.8254487e-14,1.6007499e-10,3.9155041e-14,1.6007499e-10,3.8657457e-14,1.6007499e-10,3.9558103e-14,1.6007499e-10,3.5170614e-14,1.6007499e-10,3.4382254e-14,1.6007499e-10,3.379962e-14,1.6007499e-10,3.4070204e-14,1.6007499e-10,3.7174925e-14,1.6007499e-10,3.4505518e-14,1.6007499e-10,3.0539771e-14,1.6007499e-10,3.0590895e-14,1.6007499e-10,3.1225615e-14,1.6007499e-10,3.4506132e-14,1.6007499e-10,3.2718706e-14,1.6007499e-10,3.0156901e-14,1.6007499e-10,3.0214095e-14,1.6007499e-10,3.1046878e-14,1.6007499e-10,3.5237678e-14,1.6007499e-10,3.4350546e-14,1.6007499e-10,2.9301431e-14,1.6007499e-10,2.9542291e-14,1.6007499e-10,3.0473318e-14,1.6007499e-10,3.3007658e-14,1.6007499e-10,3.565269e-14,1.6007499e-10,2.8715395e-14,1.6007499e-10,2.8770303e-14,1.6007499e-10,2.9861249e-14,1.6007499e-10,3.4485432e-14,1.6007499e-10,3.672997e-14,1.6007499e-10,2.7769655e-14,1.6007499e-10,2.7817693e-14,1.6007499e-10,2.8709656e-14,1.6007499e-10,3.4407449e-14,1.6007499e-10,3.6518538e-14,1.6007499e-10,2.7203179e-14,1.6007499e-10,2.7432362e-14,1.6007499e-10,2.8515409e-14,1.6007499e-10,2.3441266e-14,1.6007499e-10,3.6592957e-14,1.6007499e-10,2.6624315e-14,1.6007499e-10,2.652555e-14,1.6007499e-10,2.7911616e-14,1.6007499e-10,3.368129e-14
2.1007499e-10,1.0956246e-13,2.1007499e-10,1.0929993e-13,2.1007499e-10,1.1044153e-13,2.1007499e-10,1.0839189e-13,2.1007499e-10,1.0011038e-13,2.1007499e-10,7.043586e-14,2.1007499e-10,7.0988768e-14,2.1007499e-10,7.0732711e-14,2.1007499e-10,7.1005351e-14,2.1007499e-10,6.2165822e-14,2.1007499e-10,6.278378e-14,2.1007499e-10,6.1893938e-14,2.1007499e-10,6.2986793e-14,2.1007499e-10,6.6719161e-14,2.1007499e-10,5.9544042e-14,2.1007499e-10,5.569282e-14,2.1007499e-10,5.5786324e-14,2.1007499e-10,5.7171695e-14,2.1007499e-10,6.2314265e-14,2.1007499e-10,5.7275108e-14,2.1007499e-10,5.4641206e-14,2.1007499e-10,5.4827819e-14,2.1007499e-10,5.6535784e-14,2.1007499e-10,6.3616068e-14,2.1007499e-10,6.0532507e-14,2.1007499e-10,5.3649183e-14,2.1007499e-10,5.4005447e-14,2.1007499e-10,5.5700589e-14,2.1007499e-10,6.2472612e-14,2.1007499e-10,6.2651493e-14,2.1007499e-10,5.2633161e-14,2.1007499e-10,5.2727457e-14,2.1007499e-10,5.4683683e-14,2.1007499e-10,6.3520155e-14,2.1007499e-10,6.4584716e-14,2.1007499e-10,5.0657983e-14,2.1007499e-10,5.0949945e-14,2.1007499e-10,5.2824194e-14,2.1007499e-10,6.2522902e-14,2.1007499e-10,6.4500154e-14,2.1007499e-10,4.9787538e-14,2.1007499e-10,4.9941435e-14,2.1007499e-10,5.195942e-14,2.1007499e-10,5.5007722e-14,2.1007499e-10,6.5075181e-14,2.1007499e-10,4.8365214e-14,2.1007499e-10,4.8538278e-14,2.1007499e-10,5.1010737e-14,2.1007499e-10,6.033776e-14
2.6007499e-10,1.8600994e-13,2.6007499e-10,1.8552102e-13,2.6007499e-10,1.8679234e-13,2.6007499e-10,1.8410427e-13,2.6007499e-10,1.7111336e-13,2.6007499e-10,1.2181922e-13,2.6007499e-10,1.224634e-13,2.6007499e-10,1.2295009e-13,2.6007499e-10,1.2268904e-13,2.6007499e-10,1.0622432e-13,2.6007499e-10,1.09285e-13,2.6007499e-10,1.0802397e-13,2.6007499e-10,1.0945509e-13,2.6007499e-10,1.1423398e-13,2.6007499e-10,1.0051504e-13,2.6007499e-10,9.6843454e-14,2.6007499e-10,9.7047192e-14,2.6007499e-10,9.9115443e-14,2.6007499e-10,1.0750003e-13,2.6007499e-10,9.6973632e-14,2.6007499e-10,9.5327079e-14,2.6007499e-10,9.5783674e-14,2.6007499e-10,9.8251449e-14,2.6007499e-10,1.097813e-13,2.6007499e-10,1.0203621e-13,2.6007499e-10,9.3446919e-14,2.6007499e-10,9.4012692e-14,2.6007499e-10,9.699017e-14,2.6007499e-10,1.0949187e-13,2.6007499e-10,1.0601332e-13,2.6007499e-10,9.1501654e-14,2.6007499e-10,9.2044929e-14,2.6007499e-10,9.5106963e-14,2.6007499e-10,1.1027491e-13,2.6007499e-10,1.0937182e-13,2.6007499e-10,8.8349713e-14,2.6007499e-10,8.8663085e-14,2.6007499e-10,9.2075562e-14,2.6007499e-10,1.0818731e-13,2.6007499e-10,1.0938785e-13,2.6007499e-10,8.6544756e-14,2.6007499e-10,8.7150246e-14,2.6007499e-10,9.0331363e-14,2.6007499e-10,1.0221016e-13,2.6007499e-10,1.1070787e-13,2.6007499e-10,8.4829327e-14,2.6007499e-10,8.456864e-14,2.6007499e-10,8.8220771e-14,2.6007499e-10,1.053916e-13
3.1007499e-10,3.0688618e-13,3.1007499e-10,3.0638705e-13,3.1007499e-10,3.0738801e-13,3.1007499e-10,3.0414327e-13,3.1007499e-10,2.837767e-13,3.1007499e-10,2.0543495e-13,3.1007499e-10,2.0612553e-13,3.1007499e-10,2.0611277e-13,3.1007499e-10,2.0540867e-13,3.1007499e-10,1.7688915e-13,3.1007499e-10,1.8321558e-13,3.1007499e-10,1.8298801e-13,3.1007499e-10,1.847051e-13,3.1007499e-10,1.9144181e-13,3.1007499e-10,1.6709172e-13,3.1007499e-10,1.6331143e-13,3.1007499e-10,1.635733e-13,3.1007499e-10,1.6695722e-13,3.1007499e-10,1.798723e-13,3.1007499e-10,1.6064001e-13,3.1007499e-10,1.6058192e-13,3.1007499e-10,1.6116595e-13,3.1007499e-10,1.6543441e-13,3.1007499e-10,1.8377576e-13,3.1007499e-10,1.6891814e-13,3.1007499e-10,1.5764597e-13,3.1007499e-10,1.5827618e-13,3.1007499e-10,1.6318951e-13,3.1007499e-10,1.8464291e-13,3.1007499e-10,1.7524574e-13,3.1007499e-10,1.5443817e-13,3.1007499e-10,1.5510088e-13,3.1007499e-10,1.6058294e-13,3.1007499e-10,1.8534925e-13,3.1007499e-10,1.8098318e-13,3.1007499e-10,1.4910903e-13,3.1007499e-10,1.496841e-13,3.1007499e-10,1.5533529e-13,3.1007499e-10,1.8141761e-13,3.1007499e-10,1.8086239e-13,3.1007499e-10,1.4595262e-13,3.1007499e-10,1.4683763e-13,3.1007499e-10,1.5224643e-13,3.1007499e-10,1.7614176e-13,3.1007499e-10,1.8291164e-13,3.1007499e-10,1.4302546e-13,3.1007499e-10,1.4375839e-13,3.1007499e-10,1.4899925e-13,3.1007499e-10,1.765569e-13
3.6007499e-10,4.9737565e-13,3.6007499e-10,4.9747095e-13,3.6007499e-10,4.980419e-13,3.6007499e-10,4.9320787e-13,3.6007499e-10,4.6139231e-13,3.6007499e-10,3.3808164e-13,3.6007499e-10,3.3868953e-13,3.6007499e-10,3.3897879e-13,3.6007499e-10,3.3661522e-13,3.6007499e-10,2.8869352e-13,3.6007499e-10,3.0049259e-13,3.6007499e-10,3.0147568e-13,3.6007499e-10,3.0481046e-13,3.6007499e-10,3.1475155e-13,3.6007499e-10,2.7283992e-13,3.6007499e-10,2.6900921e-13,3.6007499e-10,2.695915e-13,3.6007499e-10,2.7475835e-13,3.6007499e-10,2.949535e-13,3.6007499e-10,2.610491e-13,3.6007499e-10,2.6480458e-13,3.6007499e-10,2.6567775e-13,3.6007499e-10,2.7256555e-13,3.6007499e-10,3.0153191e-13,3.6007499e-10,2.7427483e-13,3.6007499e-10,2.5992689e-13,3.6007499e-10,2.6083007e-13,3.6007499e-10,2.6886138e-13,3.6007499e-10,3.0348788e-13,3.6007499e-10,2.8445129e-13,3.6007499e-10,2.546234e-13,3.6007499e-10,2.5571328e-13,3.6007499e-10,2.643e-13,3.6007499e-10,3.0441896e-13,3.6007499e-10,2.9376972e-13,3.6007499e-10,2.4578005e-13,3.6007499e-10,2.4690695e-13,3.6007499e-10,2.5609127e-13,3.6007499e-10,2.9776636e-13,3.6007499e-10,2.9359233e-13,3.6007499e-10,2.4095769e-13,3.6007499e-10,2.4182622e-13,3.6007499e-10,2.5121101e-13,3.6007499e-10,2.9215012e-13,3.6007499e-10,2.975477e-13,3.6007499e-10,2.3579999e-13,3.6007499e-10,2.3683256e-13,3.6007499e-10,2.4574986e-13,3.6007499e-10,2.900593e-13
